,accuracy,clfName,congress,mse
0,0.7006732618851332,Majority,106,0.2993267381148667
1,0.7170239076669415,Decision Tree,106,0.28297609233305854
2,0.7172987084363837,RandomForest,106,0.2827012915636164
3,0.7651140423193185,Multi,106,0.23488595768068152
4,0.7229146692233941,Majority,107,0.27708533077660596
5,0.7310433948893242,Decision Tree,107,0.2689566051106757
6,0.7310433948893242,RandomForest,107,0.2689566051106757
7,0.7691441910875818,Multi,107,0.2308558089124182
8,0.6853792499241838,Majority,108,0.3146207500758163
9,0.6950163426222327,Decision Tree,108,0.3049836573777673
10,0.6953533039053813,RandomForest,108,0.30464669609461875
11,0.7931057721467804,Multi,108,0.20689422785321968
12,0.6588705647176412,Majority,109,0.34112943528235884
13,0.6718640679660169,Decision Tree,109,0.328135932033983
14,0.6736964850907879,RandomForest,109,0.32630351490921206
15,0.7736465100782942,Multi,109,0.2263534899217058
16,0.6653757471290098,Majority,110,0.3346242528709901
17,0.686037921694164,Decision Tree,110,0.313962078305836
18,0.686037921694164,RandomForest,110,0.313962078305836
19,0.8109959481542836,Multi,110,0.18900405184571645
20,0.748582885714993,Majority,111,0.25141711428500707
21,0.7613059729201218,Decision Tree,111,0.23869402707987822
22,0.7607366518973242,RandomForest,111,0.2392633481026758
23,0.8282878289066561,Multi,111,0.17171217109334388
24,0.5535046083527964,Majority,112,0.4464953916472036
25,0.6062683643486778,Decision Tree,112,0.39373163565132224
26,0.6059921143172857,RandomForest,112,0.3940078856827143
27,0.7320374695497125,Multi,112,0.26796253045028756
28,0.6020914150784281,Majority,113,0.39790858492157194
29,0.6287738235790183,Decision Tree,113,0.3712261764209816
30,0.6288075560802834,RandomForest,113,0.3711924439197167
31,0.7543261932872323,Multi,113,0.24567380671276776
32,0.5915711847879084,Majority,114,0.4084288152120917
33,0.6206118966357874,Decision Tree,114,0.3793881033642126
34,0.6204595319356412,RandomForest,114,0.37954046806435887
35,0.7698683568990736,Multi,114,0.23013164310092638
36,0.6237403100775194,Majority,115,0.3762596899224806
37,0.6361918604651163,Decision Tree,115,0.3638081395348837
38,0.6361434108527132,RandomForest,115,0.3638565891472868
